Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
E0,17/08/96,Arsenal,West Ham United,2,0,H,2,0,H
E0,17/08/96,Blackburn Rovers,Tottenham Hotspur,0,2,A,0,1,A
E0,17/08/96,Coventry,Nott'm Forest,0,3,A,0,2,A
E0,17/08/96,Derby,Leeds United,3,3,D,0,1,A
E0,17/08/96,Everton,Newcastle United,2,0,H,2,0,H
E0,17/08/96,Middlesbrough,Liverpool,3,3,D,2,2,D
E0,17/08/96,Sheffield Weds,Aston Villa,2,1,H,0,0,D
E0,17/08/96,Sunderland,Leicester City,0,0,D,0,0,D
E0,17/08/96,Wimbledon,Manchester United,0,3,A,0,1,A
E0,18/08/96,Southampton,Chelsea,0,0,D,0,0,D
E0,19/08/96,Liverpool,Arsenal,2,0,H,0,0,D
E0,20/08/96,Leeds United,Sheffield Weds,0,2,A,0,1,A
E0,21/08/96,Aston Villa,Blackburn Rovers,1,0,H,0,0,D
E0,21/08/96,Chelsea,Middlesbrough,1,0,H,0,0,D
E0,21/08/96,Leicester City,Southampton,2,1,H,2,0,H
E0,21/08/96,Manchester United,Everton,2,2,D,0,2,A
E0,21/08/96,Newcastle United,Wimbledon,2,0,H,1,0,H
E0,21/08/96,Nott'm Forest,Sunderland,1,4,A,1,4,A
E0,21/08/96,Tottenham Hotspur,Derby,1,1,D,1,0,H
E0,21/08/96,West Ham United,Coventry,1,1,D,0,1,A
E0,24/08/96,Aston Villa,Derby,2,0,H,1,0,H
E0,24/08/96,Chelsea,Coventry,2,0,H,1,0,H
E0,24/08/96,Leicester City,Arsenal,0,2,A,0,1,A
E0,24/08/96,Liverpool,Sunderland,0,0,D,0,0,D
E0,24/08/96,Newcastle United,Sheffield Weds,1,2,A,1,1,D
E0,24/08/96,Nott'm Forest,Middlesbrough,1,1,D,0,0,D
E0,24/08/96,Tottenham Hotspur,Everton,0,0,D,0,0,D
E0,24/08/96,West Ham United,Southampton,2,1,H,0,1,A
E0,25/08/96,Manchester United,Blackburn Rovers,2,2,D,1,1,D
E0,26/08/96,Leeds United,Wimbledon,1,0,H,0,0,D
E0,02/09/96,Sheffield Weds,Leicester City,2,1,H,1,1,D
E0,04/09/96,Arsenal,Chelsea,3,3,D,1,2,A
E0,04/09/96,Blackburn Rovers,Leeds United,0,1,A,0,1,A
E0,04/09/96,Coventry,Liverpool,0,1,A,0,0,D
E0,04/09/96,Derby,Manchester United,1,1,D,1,1,D
E0,04/09/96,Everton,Aston Villa,0,1,A,0,0,D
E0,04/09/96,Middlesbrough,West Ham United,4,1,H,2,0,H
E0,04/09/96,Southampton,Nott'm Forest,2,2,D,0,2,A
E0,04/09/96,Sunderland,Newcastle United,1,2,A,1,0,H
E0,04/09/96,Wimbledon,Tottenham Hotspur,1,0,H,1,0,H
E0,07/09/96,Aston Villa,Arsenal,2,2,D,1,0,H
E0,07/09/96,Leeds United,Manchester United,0,4,A,0,1,A
