Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
E0,14/08/93,Arsenal,Coventry,0,3,A
E0,14/08/93,Aston Villa,Queens Park Rangers,4,1,H
E0,14/08/93,Chelsea,Blackburn Rovers,1,2,A
E0,14/08/93,Liverpool,Sheffield Weds,2,0,H
E0,14/08/93,Manchester City,Leeds United,1,1,D
E0,14/08/93,Newcastle United,Tottenham Hotspur,0,1,A
E0,14/08/93,Oldham,Ipswich,0,3,A
E0,14/08/93,Sheffield United,Swindon,3,1,H
E0,14/08/93,Southampton,Everton,0,2,A
E0,14/08/93,West Ham United,Wimbledon,0,2,A
E0,15/08/93,Norwich City,Manchester United,0,2,A
E0,16/08/93,Tottenham Hotspur,Arsenal,0,1,A
E0,17/08/93,Everton,Manchester City,1,0,H
E0,17/08/93,Ipswich,Southampton,1,0,H
E0,17/08/93,Leeds United,West Ham United,1,0,H
E0,17/08/93,Wimbledon,Chelsea,1,1,D
E0,18/08/93,Blackburn Rovers,Norwich City,2,3,A
E0,18/08/93,Coventry,Newcastle United,2,1,H
E0,18/08/93,Manchester United,Sheffield United,3,0,H
E0,18/08/93,Queens Park Rangers,Liverpool,1,3,A
E0,18/08/93,Sheffield Weds,Aston Villa,0,0,D
E0,18/08/93,Swindon,Oldham,0,1,A
E0,21/08/93,Blackburn Rovers,Oldham,1,0,H
E0,21/08/93,Coventry,West Ham United,1,1,D
E0,21/08/93,Everton,Sheffield United,4,2,H
E0,21/08/93,Ipswich,Chelsea,1,0,H
E0,21/08/93,Leeds United,Norwich City,0,4,A
E0,21/08/93,Manchester United,Newcastle United,1,1,D
E0,21/08/93,Queens Park Rangers,Southampton,2,1,H
E0,21/08/93,Sheffield Weds,Arsenal,0,1,A
E0,21/08/93,Tottenham Hotspur,Manchester City,1,0,H
E0,21/08/93,Wimbledon,Aston Villa,2,2,D
E0,22/08/93,Swindon,Liverpool,0,5,A
E0,23/08/93,Aston Villa,Manchester United,1,2,A
E0,24/08/93,Arsenal,Leeds United,2,1,H
E0,24/08/93,Manchester City,Blackburn Rovers,0,2,A
E0,24/08/93,Oldham,Coventry,3,3,D
E0,24/08/93,Sheffield United,Wimbledon,2,1,H
E0,25/08/93,Chelsea,Queens Park Rangers,2,0,H
E0,25/08/93,Liverpool,Tottenham Hotspur,1,2,A
E0,25/08/93,Newcastle United,Everton,1,0,H
E0,25/08/93,Norwich City,Ipswich,1,0,H
E0,25/08/93,Southampton,Swindon,5,1,H
E0,25/08/93,West Ham United,Sheffield Weds,2,0,H
E0,27/08/93,Manchester City,Coventry,1,1,D
E0,28/08/93,Arsenal,Everton,2,0,H
E0,28/08/93,Aston Villa,Tottenham Hotspur,1,0,H
E0,28/08/93,Chelsea,Sheffield Weds,1,1,D
E0,28/08/93,Liverpool,Leeds United,2,0,H
E0,28/08/93,Norwich City,Swindon,0,0,D
E0,28/08/93,Oldham,Wimbledon,1,1,D
E0,28/08/93,Sheffield United,Ipswich,1,1,D
E0,28/08/93,Southampton,Manchester United,1,3,A
E0,28/08/93,West Ham United,Queens Park Rangers,0,4,A
E0,29/08/93,Newcastle United,Blackburn Rovers,1,1,D
E0,30/08/93,Leeds United,Oldham,1,0,H
E0,31/08/93,Everton,Aston Villa,0,1,A
E0,31/08/93,Ipswich,Newcastle United,1,1,D
E0,31/08/93,Wimbledon,Southampton,1,0,H
E0,01/09/93,Blackburn Rovers,Arsenal,1,1,D
E0,01/09/93,Coventry,Liverpool,1,0,H
E0,01/09/93,Manchester United,West Ham United,3,0,H
E0,01/09/93,Queens Park Rangers,Sheffield United,2,1,H
E0,01/09/93,Sheffield Weds,Norwich City,3,3,D
E0,01/09/93,Swindon,Manchester City,1,3,A
E0,01/09/93,Tottenham Hotspur,Chelsea,1,1,D
E0,11/09/93,Arsenal,Ipswich,4,0,H
E0,11/09/93,Aston Villa,Coventry,0,0,D
E0,11/09/93,Chelsea,Manchester United,1,0,H
E0,11/09/93,Manchester City,Queens Park Rangers,3,0,H
E0,11/09/93,Norwich City,Wimbledon,0,1,A
E0,11/09/93,Oldham,Everton,0,1,A
E0,11/09/93,Sheffield United,Tottenham Hotspur,2,2,D
E0,11/09/93,Southampton,Leeds United,0,2,A
E0,11/09/93,West Ham United,Swindon,0,0,D
E0,12/09/93,Liverpool,Blackburn Rovers,0,1,A
E0,13/09/93,Newcastle United,Sheffield Weds,4,2,H
E0,18/09/93,Blackburn Rovers,West Ham United,0,2,A
E0,18/09/93,Coventry,Chelsea,1,1,D
E0,18/09/93,Everton,Liverpool,2,0,H
E0,18/09/93,Ipswich,Aston Villa,1,2,A
E0,18/09/93,Leeds United,Sheffield United,2,1,H
E0,18/09/93,Queens Park Rangers,Norwich City,2,2,D
E0,18/09/93,Sheffield Weds,Southampton,2,0,H
E0,18/09/93,Swindon,Newcastle United,2,2,D
E0,18/09/93,Tottenham Hotspur,Oldham,5,0,H
E0,19/09/93,Manchester United,Arsenal,1,0,H
E0,20/09/93,Wimbledon,Manchester City,1,0,H
E0,25/09/93,Arsenal,Southampton,1,0,H
E0,25/09/93,Blackburn Rovers,Sheffield Weds,1,1,D
E0,25/09/93,Chelsea,Liverpool,1,0,H
E0,25/09/93,Coventry,Leeds United,0,2,A
E0,25/09/93,Everton,Norwich City,1,5,A
E0,25/09/93,Manchester United,Swindon,4,2,H
E0,25/09/93,Newcastle United,West Ham United,2,0,H
E0,25/09/93,Oldham,Aston Villa,1,1,D
E0,25/09/93,Sheffield United,Manchester City,0,1,A
E0,26/09/93,Ipswich,Tottenham Hotspur,2,2,D
E0,27/09/93,Wimbledon,Queens Park Rangers,1,1,D
