team,GP,W,D,L,F,A,GD,P
Barcelona,10,6,3,1,28,12,16,21
Alavés,10,6,2,2,14,9,5,20
Sevilla FC,10,6,1,3,22,13,9,19
Atletico Madrid,10,5,4,1,12,5,7,19
Espanyol,10,5,3,2,14,8,6,18
Real Valladolid,10,4,4,2,9,7,2,16
Levante,10,5,1,4,16,15,1,16
Getafe,10,4,3,3,10,8,2,15
Real Madrid,10,4,2,4,14,14,0,14
Celta Vigo,10,3,4,3,17,13,4,13
Girona,10,3,4,3,12,14,-2,13
Real Sociedad,10,3,3,4,12,13,-1,12
Real Betis,10,3,3,4,5,9,-4,12
Valencia,10,1,8,1,7,8,-1,11
Eibar,10,3,2,5,10,17,-7,11
Athletic Bilbao,10,1,7,2,11,15,-4,10
Villarreal,10,2,3,5,8,10,-2,9
Leganes,10,2,2,6,8,15,-7,8
Rayo Vallecano,10,1,3,6,10,20,-10,6
Huesca,10,1,2,7,8,22,-14,5
